dataset,dataset_size,model,architecture,optimizer,learning_rate,batch_size,param_count,param_count_log10,learning_rate_log10,batch_size_log10,gradient_norm_log10,ntk_trace_proxy_log10,initial_loss_log10,T_conv,patience_P,min_delta,max_epochs,val_loss_prefix
TinyImageNet,100000,asmlp,MLP,AdamW,0.0005,64,2032200,6.307966447,-3.301029995,1.806179974,0.379194003,0.75838796,0.723926236,20,5,0.0001,250,"[4.606482590839362, 4.246482060973052, 4.101417105668669, 4.004370962738231, 3.888071426160776, 3.806148419714278, 3.7870042172207197, 3.7176364865272666, 3.643086510858718, 3.6260949957902264, 3.5857600770938167, 3.553470114993442, 3.477656475297964, 3.4990246189627676, 3.467260653805581, 3.5221830811470176, 3.6028566922351812, 3.479971817344617, 3.470845684124406, 3.492313026622602]"
TinyImageNet,100000,asmlp,MLP,SGD,0.0005,64,2032200,6.307966447,-3.301029995,1.806179974,0.320025023,0.640050072,0.725284482,66,5,0.0001,250,"[5.025503456212912, 4.930464210024305, 4.850954095269464, 4.740405605097485, 4.63002844524991, 4.54610234157295, 4.463551575970498, 4.377825834189251, 4.2816853826972325, 4.2279253567859625, 4.179414173600021, 4.108383913708341, 4.081188255054935, 4.041181198350943, 4.0201744349898805, 3.9583551078844983, 3.914603661579691, 3.919354300590078, 3.888685496749392, 3.813040256500244]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.0005,128,2032200,6.307966447,-3.301029995,2.10720997,0.397544956,0.795089881,0.728508154,20,5,0.0001,250,"[4.596385406542428, 4.275707051723818, 4.015039474149294, 3.870137637174582, 3.7687835934795912, 3.6749782713153696, 3.624717938749096, 3.547018576271926, 3.4634072961686533, 3.3956635662272006, 3.4459420518030095, 3.337444954280612, 3.2988585641112507, 3.284963879404189, 3.284354191792162, 3.303174818618388, 3.2902332468877864, 3.3305008864100976, 3.3657042557680152, 3.3623353801196134]"
TinyImageNet,100000,asmlp,MLP,SGD,0.0005,128,2032200,6.307966447,-3.301029995,2.10720997,0.351213696,0.702427411,0.727728695,88,5,0.0001,250,"[5.114363501343546, 5.017827106427543, 4.9566558222227455, 4.902601815477202, 4.846899708615074, 4.79114000706733, 4.74378740938404, 4.695685102969786, 4.634243180480184, 4.596190663832653, 4.538127875026269, 4.509636589243442, 4.463468503348435, 4.411862306957003, 4.380175856095326, 4.320704110061066, 4.278732354127908, 4.24472971203961, 4.200151250332216, 4.171671287922919]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.0005,256,2032200,6.307966447,-3.301029995,2.408239965,0.41153352,0.823067005,0.727743967,21,5,0.0001,250,"[4.643879544734955, 4.160492199659347, 3.9442260205745696, 3.8170624732971192, 3.728837764263153, 3.642859089374542, 3.4981856822967528, 3.4341234147548674, 3.38108372092247, 3.280715811252594, 3.2805752396583556, 3.206065058708191, 3.2521960854530336, 3.1717306554317473, 3.1722752273082735, 3.143973910808563, 3.170937991142273, 3.217444157600403, 3.233525109291077, 3.297299098968506]"
TinyImageNet,100000,asmlp,MLP,SGD,0.0005,256,2032200,6.307966447,-3.301029995,2.408239965,0.386653884,0.773307793,0.727951529,110,5,0.0001,250,"[5.1982694387435915, 5.129191565513611, 5.0742662191390995, 5.027613508701324, 4.988426375389099, 4.9559812307357785, 4.921197676658631, 4.88664755821228, 4.854750442504883, 4.8218895435333256, 4.79113187789917, 4.760495245456696, 4.728228640556336, 4.700457644462586, 4.6805274248123165, 4.64599199295044, 4.621562194824219, 4.62056257724762, 4.574374902248382, 4.549811840057373]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.001,64,2032200,6.307966447,-3,1.806179974,0.332107014,0.664214043,0.736280047,63,5,0.0001,250,"[4.960737070460229, 4.693813345234865, 4.595092223708037, 4.549366267623415, 4.491955523278303, 4.459217165685763, 4.429640177708523, 4.3812674473805036, 4.351197774243203, 4.344474977748409, 4.323771350702662, 4.358865326377237, 4.304866177261255, 4.279821544695812, 4.271482696958408, 4.300478528259666, 4.231675438060882, 4.222583632560292, 4.218732578739239, 4.240705698159091]"
TinyImageNet,100000,asmlp,MLP,SGD,0.001,64,2032200,6.307966447,-3,1.806179974,0.381157397,0.762314843,0.728427004,41,5,0.0001,250,"[4.936823747719929, 4.767149627588357, 4.620752249553704, 4.480335375305954, 4.334380266772714, 4.211108842473121, 4.126612774126089, 4.049470064746346, 3.9980720866257977, 3.9325088589054764, 3.8983570375260275, 3.8742407856473497, 3.8082659472325804, 3.7804656712112914, 3.7229269477212505, 3.699419379993609, 3.6483529859287724, 3.61864817522134, 3.6669801405281017, 3.57155465624135]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.001,128,2032200,6.307966447,-3,2.10720997,0.419047532,0.838095094,0.732091123,43,5,0.0001,250,"[4.798297942439212, 4.596505660044996, 4.535236968269831, 4.450063252750831, 4.439448072940489, 4.36659833147556, 4.317377021041097, 4.3090535779542565, 4.253472747682016, 4.270786967458604, 4.289830582051337, 4.243574767173091, 4.183977631073963, 4.357220015948331, 4.195094621634182, 4.150533395477488, 4.102756705465196, 4.115411453609225, 4.110475319850294, 4.0926174996774405]"
TinyImageNet,100000,asmlp,MLP,SGD,0.001,128,2032200,6.307966447,-3,2.10720997,0.351904197,0.703808356,0.724578871,63,5,0.0001,250,"[5.027254418481754, 4.927781292154819, 4.823276386985296, 4.739383733725246, 4.635327882404569, 4.559636333320714, 4.464155106604854, 4.391897823237166, 4.317597238323357, 4.221619714664508, 4.171666048750093, 4.136401870582677, 4.074608733382406, 4.049052519134328, 4.015882329095768, 3.9712960207009615, 3.9364806187303762, 3.943220213998722, 3.889798360534861, 3.8395077307013015]"
