dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.10712622725579019,0.21869500568202052,-7.600902459542082,11.002099841204238,30,True,,0.8275404573480636,-1.5474032399077295,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.37113901394412974,0.47679504308989523,-7.600902459542082,11.002099841204238,42,True,,0.8528628405037456,-1.4928531444456241,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.19530396440999032,0.3041335057199078,-7.600902459542082,11.002099841204238,30,True,,0.9097047608450795,-1.396013484868261,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.2623673856827686,0.3645706239515307,-7.600902459542082,11.002099841204238,40,True,,0.8555392812125937,-1.4887908990915928,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.029544820803803627,0.134993992786805,-7.600902459542082,11.002099841204238,27,True,,0.8499032735011939,-1.4645729722361311,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.2346766512792486,0.34356026634295644,-7.600902459542082,11.002099841204238,11,True,,0.8712471216454953,-1.44811111558742,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.033802251305743304,0.14541427666758763,-7.600902459542082,11.002099841204238,36,True,,0.826927153259239,-1.4797216158729385,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.17883818613490254,0.2821724441276905,-7.600902459542082,11.002099841204238,29,True,,0.8676228165110249,-1.5564215287031136,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.6822727346371248,0.7729278731568507,-7.600902459542082,11.002099841204238,40,True,,0.8317883216591252,-1.4769827054828653,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.130815490059645,3.4657359027997265,0.48684519666838477,0.592942814808874,-7.600902459542082,11.002099841204238,21,True,,0.8241970760813188,-1.5061598103012008,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.35268310806346487,0.45276997816729897,-7.600902459542082,11.002099841204238,42,True,,0.8669109850605163,-1.4817734866789682,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.25263678456084404,0.3527454543519298,-7.600902459542082,11.002099841204238,10,True,,0.9082003074377131,-1.4101258845834654,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.16011894786423606,0.2736126312096889,-7.600902459542082,11.002099841204238,31,True,,0.8359165277003436,-1.4847117433189108,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.18159874701594916,0.2890453078097908,-7.600902459542082,11.002099841204238,38,True,,0.8465570579541365,-1.4596969089994183,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.1433341221714642,0.24412736078865374,-7.600902459542082,11.002099841204238,28,True,,0.8542157062276066,-1.5127970695555397,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.32848990689434654,0.4292692178587926,-7.600902459542082,11.002099841204238,11,True,,0.8677761940458218,-1.6168580483631938,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4493335762623474,0.5653081521807422,-7.600902459542082,11.002099841204238,47,True,,0.85997020175691,-1.5032060511277576,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.011322499430376713,0.12059372587613854,-7.600902459542082,11.002099841204238,32,True,,0.8184050833969735,-1.5139758931974943,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.0697027209098731,0.1782071039639128,-7.600902459542082,11.002099841204238,36,True,,0.8619215794223888,-1.4814832885862463,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.12193785963079941,0.23229570183267653,-7.600902459542082,11.002099841204238,26,True,,0.8624473764843914,-1.4467200163501972,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.09952708426293767,0.20261420707656433,-7.600902459542082,11.002099841204238,27,True,,0.8502689742407111,-1.5382749966433489,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.06481585359032536,0.16806629609720877,-7.600902459542082,11.002099841204238,35,True,,0.8201550256408767,-1.5222721936775474,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.12791573458447597,0.22828267403687208,-7.600902459542082,11.002099841204238,28,True,,0.8640428057204046,-1.4648858997822267,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.2990545067130884,0.4015505580443416,-7.600902459542082,11.002099841204238,12,True,,0.8782927282432561,-1.7355516846034924,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.26881823155131923,0.37082574569161164,-7.600902459542082,11.002099841204238,43,True,,0.8257428492478502,-1.5661863108800762,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.07024714032812898,0.17466163258742973,-7.600902459542082,11.002099841204238,40,True,,0.8466044009511421,-1.499329500877299,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,11.130815490059645,3.4657359027997265,0.42196930641757746,0.5375727651885799,-7.600902459542082,11.002099841204238,23,True,,0.8688487785999177,-1.5029875983519942,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.45755654982378646,0.5717341148329623,-7.600902459542082,11.002099841204238,40,True,,0.9048924567023355,-1.4157669239275434,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.2999490906067593,0.3973471320639711,-7.600902459542082,11.002099841204238,11,True,,0.8705206950608492,-1.5780363191380733,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.4730922480676679,0.5592967840899636,-7.600902459542082,11.002099841204238,42,True,,0.834681882465705,-1.5492204802442375,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.3996436975396107,0.5003973831237878,-7.600902459542082,11.002099841204238,39,True,,0.8630786119550675,-1.4580950328861848,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.35380273587819977,0.4562949804053347,-7.600902459542082,11.002099841204238,44,True,,0.8718216816394639,-1.4499532186158168,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.28796136223259566,0.3941774687169163,-7.600902459542082,11.002099841204238,12,True,,0.8578175601834985,-1.6698529937252349,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.3139478222931553,0.4251616693525405,-7.600902459542082,11.002099841204238,12,True,,0.939218840257098,-1.5505543915554734,resnet_mini,"[2, 2, 2]",proj_block
