dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.5626379509639206,6.5910893055805735,-7.600902459542082,11.002099841204238,5,True,,0.9920215007535166,-1.4238614930043305
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.246834147453503,5.279847172239302,-7.600902459542082,11.002099841204238,35,True,,1.0204327014510963,-1.3087345432488864
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,5.997009161532446,6.096913851148069,-7.600902459542082,11.002099841204238,24,True,,1.0624434717116433,-1.3263422496824537
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.213172590767831,6.241218024586441,-7.600902459542082,11.002099841204238,21,True,,0.9775860666431981,-1.3951232373744606
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.462004416239856,6.519311836671863,-7.600902459542082,11.002099841204238,5,True,,1.00002777309255,-1.3190012684505876
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.555340200597325,5.61071403034335,-7.600902459542082,11.002099841204238,5,True,,1.0390666736429115,-1.2800226910939712
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.04950196392347,5.959477927972444,-7.600902459542082,11.002099841204238,26,True,,1.0721685766067757,-1.3120166578579373
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.21551484795952,6.218099727746116,-7.600902459542082,11.002099841204238,24,True,,1.0029577970088959,-1.3242521259972806
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.295165976324275,6.300896183809172,-7.600902459542082,11.002099841204238,24,True,,0.9477517576609008,-1.413397352646918
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.2678310758890605,6.284595491560838,-7.600902459542082,11.002099841204238,5,True,,1.05717803990675,-1.599358977190886
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.686938724876763,5.75911775966361,-7.600902459542082,11.002099841204238,6,True,,0.93921818781689,-1.661235005503596
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,4.980363511111583,4.995447929380069,-7.600902459542082,11.002099841204238,32,True,,0.9879081773917605,-1.3867256937353798
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.400245863185821,5.508401201095347,-7.600902459542082,11.002099841204238,6,True,,0.963453421476342,-1.5678795710417655
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,5.896267001460261,5.999632574101339,-7.600902459542082,11.002099841204238,23,True,,0.9196306376761118,-1.4241077693600155
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.436608326224749,5.491113170996111,-7.600902459542082,11.002099841204238,6,True,,1.0957155234174454,-1.2985016142993928
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.180760243334047,5.213785104577378,-7.600902459542082,11.002099841204238,13,True,,1.127874037427407,-1.2101649507963006
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.105361529979871,6.203941358379379,-7.600902459542082,11.002099841204238,24,True,,0.9766476607523594,-1.417462840063538
MNIST,0.0005,32,0.1,12.507457899065408,3.4657359027997265,6.204454136150297,6.219344420054514,-7.600902459542082,11.002099841204238,10,True,,1.0200689569415016,-1.322839987746136
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.204347668373579,5.3078234390837045,-7.600902459542082,11.002099841204238,34,True,,0.9244700424041734,-1.585229895424112
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.328615646818546,5.346518164594102,-7.600902459542082,11.002099841204238,38,True,,0.8822626294750779,-1.4457608389667584
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.5893137868676055,5.677817942209079,-7.600902459542082,11.002099841204238,12,True,,0.9501808584662599,-1.3990114839585608
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,4.921930406463303,5.003985001012221,-7.600902459542082,11.002099841204238,35,True,,0.9080153128802946,-1.5220009284132443
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.51674675216617,6.549628029792272,-7.600902459542082,11.002099841204238,5,True,,1.0695941355757046,-1.2566625665439213
MNIST,0.0005,32,0.1,12.507457899065408,3.4657359027997265,6.125887708037215,6.119372050505956,-7.600902459542082,11.002099841204238,12,True,,0.9841381187476533,-1.4784472952522265
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.699954750868936,5.769081616363561,-7.600902459542082,11.002099841204238,6,True,,0.8836218498932468,-1.6139500005293477
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.457852934912479,5.575993857105163,-7.600902459542082,11.002099841204238,6,True,,1.0305767883667238,-1.2996533564994144
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.3755793308392255,6.45823343271745,-7.600902459542082,11.002099841204238,6,True,,0.9469084036322662,-2.0553520424368728
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.523839911475513,6.553672469417258,-7.600902459542082,11.002099841204238,5,True,,0.9522216034222103,-1.741000986391507
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,5.922202121140478,5.902812902489788,-7.600902459542082,11.002099841204238,25,True,,1.0831488832952423,-1.3132680743088665
MNIST,0.0005,32,0.1,12.507457899065408,3.4657359027997265,6.22566550235264,6.240898808471076,-7.600902459542082,11.002099841204238,11,True,,1.0296058612900658,-1.5820889461823922
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.0296331607092055,6.020765533552153,-7.600902459542082,11.002099841204238,22,True,,1.124500868741925,-1.2538350556746392
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.576587766124113,5.647961846354234,-7.600902459542082,11.002099841204238,12,True,,0.9886372975741169,-1.334552439772738
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.686537614551871,5.742233995195725,-7.600902459542082,11.002099841204238,15,True,,1.0174859379334589,-1.5963395834930956
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.203022205928523,5.307765798325994,-7.600902459542082,11.002099841204238,34,True,,1.0130145578116723,-1.4769266463285
MNIST,0.0005,32,0.1,12.507457899065408,3.4657359027997265,6.063133721790649,6.076119363009612,-7.600902459542082,11.002099841204238,12,True,,1.1121771209116968,-1.2183018703826891
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.766831136075785,5.834014840627887,-7.600902459542082,11.002099841204238,6,True,,1.003223173304201,-1.46654274583619
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.428905829048573,6.457402946265869,-7.600902459542082,11.002099841204238,5,True,,1.0144193785547844,-1.4009488012717801
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.262201022792083,6.3050234953950195,-7.600902459542082,11.002099841204238,6,True,,0.9738321898072009,-1.6420371576323836
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.565791380567971,6.496423108046006,-7.600902459542082,11.002099841204238,6,True,,0.9455442376644385,-1.8748986216138408
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.214370374090079,5.331678625961144,-7.600902459542082,11.002099841204238,36,True,,1.0328209995016788,-1.3130302954327926
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.703696274677458,5.759882611536554,-7.600902459542082,11.002099841204238,14,True,,1.055749276868164,-1.3133914180549102
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.261726028693474,6.391322674646553,-7.600902459542082,11.002099841204238,5,True,,1.0177457638463894,-1.3724954475976054
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.573779736406253,5.63245926906551,-7.600902459542082,11.002099841204238,6,True,,1.0111839824016122,-1.8086827162581154
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.12533600761264,6.117664525974722,-7.600902459542082,11.002099841204238,25,True,,1.0654845908379624,-1.3840443156364988
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.1966882599946365,5.312106841054344,-7.600902459542082,11.002099841204238,38,True,,0.941196851675718,-1.5852173142816517
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.390404619975267,5.43372007121664,-7.600902459542082,11.002099841204238,12,True,,1.0329062126955506,-1.3242813683530537
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.000813358806823,6.037837083258067,-7.600902459542082,11.002099841204238,23,True,,0.9332599092399608,-1.5640143616029192
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.760458063562629,5.8504698264049875,-7.600902459542082,11.002099841204238,6,True,,0.9074131705822288,-1.6154843305879658
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,4.7347909183382,4.810794937691992,-7.600902459542082,11.002099841204238,34,True,,1.0036590769652949,-1.3577469464157825
MNIST,0.0005,32,0.1,12.726799093973426,3.4657359027997265,5.374794899351299,5.464062716559672,-7.600902459542082,11.002099841204238,13,True,,1.0721968922560903,-1.2702784549686477
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.086388839827129,5.183704551167726,-7.600902459542082,11.002099841204238,34,True,,0.9734256903490358,-1.3522321083667896
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.130327288744193,6.079296671373869,-7.600902459542082,11.002099841204238,22,True,,1.045729412086654,-1.3842390416084853
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.462038617977602,5.5640105603742525,-7.600902459542082,11.002099841204238,6,True,,0.902426681693707,-1.5928642021000976
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.59248810470709,5.700412978795443,-7.600902459542082,11.002099841204238,6,True,,1.0255208566410203,-1.6434748456984032
MNIST,0.0005,32,0.1,13.748765871699728,3.4657359027997265,5.728288357440085,5.797173140492007,-7.600902459542082,11.002099841204238,7,True,,1.0583174476680248,-1.5443144115256102
MNIST,0.0005,32,0.1,12.507457899065408,3.4657359027997265,6.513254496873757,6.468450021360481,-7.600902459542082,11.002099841204238,11,True,,1.128655498758128,-1.406646254177445
MNIST,0.0005,32,0.1,11.81718437922679,3.4657359027997265,5.2728502295266075,5.237781684429159,-7.600902459542082,11.002099841204238,30,True,,1.0444441891750427,-1.3834185230827694
