dataset,architecture,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.110149466045702,7.157657366062308,-7.600902459542082,11.002099841204238,29,True,,0.898277442089409,-1.4974992961018492
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.33602369144877,7.448252640317145,-7.600902459542082,11.002099841204238,43,True,,0.9194396651075668,-1.4810541779420994
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.4280381621508615,7.4052042080059834,-7.600902459542082,11.002099841204238,29,True,,1.0471707120277807,-1.4926643868338043
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.427049504696342,7.356723704304114,-7.600902459542082,11.002099841204238,31,True,,1.1887412234507444,-1.1980624837309677
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.717875828751554,8.649300723656912,-7.600902459542082,11.002099841204238,39,True,,1.1298279719805564,-1.288845557659583
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.471069286745732,7.3087054633891295,-7.600902459542082,11.002099841204238,29,True,,1.031189600652488,-1.4121841459906186
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.990257458026189,8.035970460153731,-7.600902459542082,11.002099841204238,21,True,,0.9476599865660419,-1.4106445723596224
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.39301009551463,7.523768863541192,-7.600902459542082,11.002099841204238,28,True,,1.1313320908866784,-1.2163688639375823
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.074778448860806,7.175857205452304,-7.600902459542082,11.002099841204238,26,True,,0.9027978395698575,-1.4733535096640484
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.383438996142209,7.410882561700484,-7.600902459542082,11.002099841204238,28,True,,1.0873354822615087,-1.3142195337654572
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.098682791192247,7.113305641160898,-7.600902459542082,11.002099841204238,26,True,,1.0228781785651742,-1.4014574242017706
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.232198464324314,7.198352837471231,-7.600902459542082,11.002099841204238,21,True,,1.0362444310395642,-1.3220759159895594
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.429364559294029,7.497979598863342,-7.600902459542082,11.002099841204238,30,True,,0.8998501129335442,-1.6150205251803766
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.297615032049677,7.346145600350668,-7.600902459542082,11.002099841204238,29,True,,1.0524720660344047,-1.3442983581413566
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.280363942344615,7.312247361873159,-7.600902459542082,11.002099841204238,24,True,,0.9382348496073021,-1.4710633697800506
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.078369365624628,8.866254690361687,-7.600902459542082,11.002099841204238,30,True,,1.2578279586466912,-1.0563653569418796
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.362876146711592,7.357955124553232,-7.600902459542082,11.002099841204238,34,True,,1.0422673926648494,-1.3737029726101202
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.309853130356979,7.353380981292955,-7.600902459542082,11.002099841204238,35,True,,0.9302433284477406,-1.5584560933683227
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.619089101827804,7.531637155678589,-7.600902459542082,11.002099841204238,26,True,,1.1584861805678157,-1.2494107657471083
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.718583937714205,7.83310915882499,-7.600902459542082,11.002099841204238,37,True,,1.0134473401073834,-1.373706386428941
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.511779831381462,7.532823558981164,-7.600902459542082,11.002099841204238,26,True,,1.0024613061550431,-1.4692895034424047
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.304174328408316,7.198398719146122,-7.600902459542082,11.002099841204238,24,True,,1.1462615862564478,-1.1794854698783006
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.104420858458861,7.078307825671737,-7.600902459542082,11.002099841204238,25,True,,1.036207042780336,-1.372181452396413
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.424806774010408,7.398554774242977,-7.600902459542082,11.002099841204238,34,True,,0.9510964347710155,-1.4097986910142426
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.214743756181042,6.986716666813356,-7.600902459542082,11.002099841204238,29,True,,1.141469487975078,-1.2801690170347824
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.816987981225296,7.828553275604292,-7.600902459542082,11.002099841204238,24,True,,0.8722497191597891,-1.686320856653823
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.604134467948127,7.494393764701508,-7.600902459542082,11.002099841204238,23,True,,1.0623835651798235,-1.4146794222140375
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.174360570286782,7.219376007805913,-7.600902459542082,11.002099841204238,25,True,,0.9802600455001925,-1.409959131264096
