dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,13.71749412,3.465735903,2.899533431,6.444190865,-7.60090246,11.00209984,0.841460479,-1.746222209,19,TRUE
MNIST,0.0005,50,0.1,12.41747554,3.465735903,0.355284487,3.932670748,-7.60090246,11.00209984,0.839849068,-1.467326146,29,TRUE
MNIST,0.0005,50,0.1,14.29030892,3.465735903,4.746977458,8.273022213,-7.60090246,11.00209984,0.838869597,-1.486805656,23,TRUE
MNIST,0.0005,50,0.1,12.95426184,3.465735903,0.303163842,3.881684487,-7.60090246,11.00209984,0.827658217,-1.567963627,40,TRUE
MNIST,0.0005,50,0.1,13.62162722,3.465735903,2.837311735,6.40582971,-7.60090246,11.00209984,0.83064592,-1.549917259,30,TRUE
MNIST,0.0005,50,0.1,15.04945819,3.465735903,1.860110668,5.427054305,-7.60090246,11.00209984,0.838267947,-1.770988637,15,TRUE
MNIST,0.0005,50,0.1,13.61746198,3.465735903,1.851705466,5.423415772,-7.60090246,11.00209984,0.833133087,-1.505870175,56,TRUE
MNIST,0.0005,50,0.1,13.7018423,3.465735903,1.584386761,5.159024381,-7.60090246,11.00209984,0.835604055,-1.772709097,24,TRUE
MNIST,0.0005,50,0.1,13.09589208,3.465735903,0.149766183,3.711632213,-7.60090246,11.00209984,0.832128443,-1.766614074,32,TRUE
MNIST,0.0005,50,0.1,13.73602786,3.465735903,1.04892735,4.600852231,-7.60090246,11.00209984,0.836742048,-1.638251483,36,TRUE
MNIST,0.0005,50,0.1,14.34131425,3.465735903,1.342691744,4.894573949,-7.60090246,11.00209984,0.834235385,-1.639141334,27,TRUE
MNIST,0.0005,50,0.1,15.68659525,3.465735903,1.984477679,5.554961405,-7.60090246,11.00209984,0.832051049,-1.776191227,12,TRUE
MNIST,0.0005,50,0.1,13.24549033,3.465735903,0.089045062,3.671906014,-7.60090246,11.00209984,0.83463066,-1.479640864,54,TRUE
MNIST,0.0005,50,0.1,16.38476402,3.465735903,3.459213793,6.99433559,-7.60090246,11.00209984,0.835143075,-1.997482868,8,TRUE
MNIST,0.0005,50,0.1,13.60809517,3.465735903,1.225198257,4.774475253,-7.60090246,11.00209984,0.840254994,-1.636534244,30,TRUE
MNIST,0.0005,50,0.1,12.58141526,3.465735903,0.523837725,4.090338506,-7.60090246,11.00209984,0.834463419,-1.608544451,28,TRUE
MNIST,0.0005,50,0.1,13.67469556,3.465735903,0.970689219,4.563185409,-7.60090246,11.00209984,0.835486917,-1.638656686,27,TRUE
MNIST,0.0005,50,0.1,13.05179069,3.465735903,1.326625967,4.911155457,-7.60090246,11.00209984,0.839615668,-1.757009031,20,TRUE
