dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.7666834,6.321685661,-7.60090246,11.00209984,0.83762477,-1.478901705,92,TRUE
MNIST,0.0005,50,0.1,11.0667946,3.465735903,0.666318922,4.232569997,-7.60090246,11.00209984,0.835867436,-1.484181653,72,TRUE
MNIST,0.0005,50,0.1,11.52352905,3.465735903,0.695178439,4.261132592,-7.60090246,11.00209984,0.835531892,-1.47072749,57,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.521024103,6.130835052,-7.60090246,11.00209984,0.823483359,-1.493189045,86,TRUE
MNIST,0.0005,50,0.1,11.68082688,3.465735903,1.151201758,4.717304524,-7.60090246,11.00209984,0.836086212,-1.530983085,56,TRUE
MNIST,0.0005,50,0.1,12.4358263,3.465735903,0.64929028,4.228959558,-7.60090246,11.00209984,0.838794166,-1.485990719,45,TRUE
MNIST,0.0005,50,0.1,12.50366297,3.465735903,1.454834123,5.036016438,-7.60090246,11.00209984,0.835198201,-1.561569948,38,TRUE
MNIST,0.0005,50,0.1,11.82095413,3.465735903,1.41218274,4.97634411,-7.60090246,11.00209984,0.834071598,-1.495741724,47,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.724788294,6.321796708,-7.60090246,11.00209984,0.833116712,-1.475572067,85,TRUE
MNIST,0.0005,50,0.1,11.81482105,3.465735903,0.759256462,4.321125239,-7.60090246,11.00209984,0.836873804,-1.607232947,45,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.668501528,6.215773665,-7.60090246,11.00209984,0.838581547,-1.478062735,86,TRUE
MNIST,0.0005,50,0.1,11.52352905,3.465735903,0.604662529,4.177224433,-7.60090246,11.00209984,0.835351876,-1.498653877,49,TRUE
MNIST,0.0005,50,0.1,11.60263819,3.465735903,1.262156685,4.836246478,-7.60090246,11.00209984,0.834519204,-1.50713811,65,TRUE
MNIST,0.0005,50,0.1,12.4358263,3.465735903,0.547304785,4.130389839,-7.60090246,11.00209984,0.837277224,-1.580175078,45,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.662612443,6.213089806,-7.60090246,11.00209984,0.834002431,-1.470895027,88,TRUE
MNIST,0.0005,50,0.1,12.22356869,3.465735903,3.028986972,6.587333771,-7.60090246,11.00209984,0.834043435,-1.477785825,43,TRUE
MNIST,0.0005,50,0.1,12.02987232,3.465735903,0.598144576,4.177604589,-7.60090246,11.00209984,0.833192676,-1.511449525,45,TRUE
MNIST,0.0005,50,0.1,12.22356869,3.465735903,2.956645894,6.528416422,-7.60090246,11.00209984,0.831485975,-1.490581338,41,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.743837904,6.318139758,-7.60090246,11.00209984,0.847569689,-1.470362937,84,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.707891346,6.280675046,-7.60090246,11.00209984,0.829688692,-1.508235399,66,TRUE
MNIST,0.0005,50,0.1,12.39983682,3.465735903,0.588897747,4.156347264,-7.60090246,11.00209984,0.828261284,-1.501440569,48,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.937883961,6.49314697,-7.60090246,11.00209984,0.83377077,-1.496601255,55,TRUE
MNIST,0.0005,50,0.1,12.22356869,3.465735903,2.99927674,6.567116462,-7.60090246,11.00209984,0.831501546,-1.509198142,41,TRUE
MNIST,0.0005,50,0.1,12.36796188,3.465735903,1.524885109,5.084738183,-7.60090246,11.00209984,0.837106503,-1.523064015,41,TRUE
MNIST,0.0005,50,0.1,11.82095413,3.465735903,1.639759477,5.20878508,-7.60090246,11.00209984,0.834867916,-1.549209046,45,TRUE
MNIST,0.0005,50,0.1,11.60263819,3.465735903,1.521121821,5.075327192,-7.60090246,11.00209984,0.834301326,-1.493202576,58,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.875407436,6.434876789,-7.60090246,11.00209984,0.832688593,-1.475709913,82,TRUE
MNIST,0.0005,50,0.1,12.22356869,3.465735903,2.90910975,6.468553408,-7.60090246,11.00209984,0.831608461,-1.479997884,43,TRUE
MNIST,0.0005,50,0.1,11.63996332,3.465735903,0.46552928,4.037567144,-7.60090246,11.00209984,0.831412061,-1.509558052,68,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.763818157,6.36646606,-7.60090246,11.00209984,0.835318785,-1.476493811,61,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.841673552,6.399898487,-7.60090246,11.00209984,0.839661179,-1.507400327,64,TRUE
MNIST,0.0005,50,0.1,11.68082688,3.465735903,1.346362137,4.910692382,-7.60090246,11.00209984,0.841009595,-1.515873103,53,TRUE
MNIST,0.0005,50,0.1,11.93548365,3.465735903,0.777470315,4.341185622,-7.60090246,11.00209984,0.834366332,-1.571589169,49,TRUE
MNIST,0.0005,50,0.1,11.74322733,3.465735903,0.482033623,4.052733681,-7.60090246,11.00209984,0.830914038,-1.498420147,59,TRUE
MNIST,0.0005,50,0.1,11.81482105,3.465735903,0.687813406,4.271322322,-7.60090246,11.00209984,0.837281456,-1.572537716,47,TRUE
MNIST,0.0005,50,0.1,11.81150297,3.465735903,0.51214914,4.095062816,-7.60090246,11.00209984,0.836485302,-1.509634244,53,TRUE
MNIST,0.0005,50,0.1,12.22356869,3.465735903,3.109497504,6.676102432,-7.60090246,11.00209984,0.821229554,-1.486045708,45,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.781337685,6.352866353,-7.60090246,11.00209984,0.835410817,-1.499645019,63,TRUE
