dataset,transformer,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.46990524,9.978357914,-7.60090246,6.907755279,0.854806522,0.333309881,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.347650058,9.911163101,-7.60090246,6.907755279,0.848324815,0.250730583,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.382971213,9.983741695,-7.60090246,6.907755279,0.84353946,0.042965425,8,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.371118244,9.923384196,-7.60090246,6.907755279,0.833996943,0.167401877,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.466461771,9.968585048,-7.60090246,6.907755279,0.84983662,0.30156646,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.414095396,9.939932757,-7.60090246,6.907755279,0.874374036,0.278166269,21,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.423617766,9.93884922,-7.60090246,6.907755279,0.838207731,0.295595323,8,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.459620164,9.953774323,-7.60090246,6.907755279,0.88231068,0.292537699,21,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.467547242,10.03548645,-7.60090246,6.907755279,0.858431616,0.326653181,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.51265791,10.07156671,-7.60090246,6.907755279,0.883814466,0.35093921,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.48071634,10.00388532,-7.60090246,6.907755279,0.855435503,0.259040658,37,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.292232038,9.868490565,-7.60090246,6.907755279,0.836650966,0.230904116,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.488954469,10.03811197,-7.60090246,6.907755279,0.850915781,0.194516256,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.31702267,9.883122732,-7.60090246,6.907755279,0.836765592,0.277664649,9,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.426383742,9.96882935,-7.60090246,6.907755279,0.903714461,0.081593426,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.421991121,9.998331641,-7.60090246,6.907755279,0.853531836,0.264501474,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.313521207,9.856023718,-7.60090246,6.907755279,0.877404054,0.197782803,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.442760446,9.995933986,-7.60090246,6.907755279,0.871438545,0.247266961,32,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.37649096,9.933835548,-7.60090246,6.907755279,0.899357009,0.365278734,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.455397376,10.01504387,-7.60090246,6.907755279,0.887352392,0.31310355,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.289286102,9.866175952,-7.60090246,6.907755279,0.827833685,0.224165558,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.346400715,9.915849696,-7.60090246,6.907755279,0.86411505,0.251535617,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.480841829,9.997063846,-7.60090246,6.907755279,0.872905077,0.361093946,35,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.363361206,9.930573554,-7.60090246,6.907755279,0.85140486,0.331125464,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.652704715,10.24626438,-7.60090246,6.907755279,0.862779343,0.091642132,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.351682927,9.906468335,-7.60090246,6.907755279,0.856070065,0.344280856,23,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.398669168,9.931849213,-7.60090246,6.907755279,0.853669622,0.295184903,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.440745981,10.02128326,-7.60090246,6.907755279,0.856092044,0.155417072,35,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.462293195,10.01060672,-7.60090246,6.907755279,0.880361258,0.358988514,14,TRUE
